HMDB_ID	Secondary_HMDB_ID	Kegg_ID	metabolite	synonyms_name	Organ and components	Cell and elements	Tissue and substructures	Biofluid and excreta	Subcellular	kingdom	super_class	sub_class	class	associated_gene	Software_Predicted	BioLocation_Summary
HMDB0000134	HMDB00134	C00122	Fumaric acid	(2E)-2-Butenedioic acid; (e)-2-Butenedioic acid; e297; Fumarsaeure; trans-1,2-Ethylenedicarboxylic acid; trans-But-2-enedioic acid; trans-Butenedioic acid; (2E)-2-Butenedioate; (e)-2-Butenedioate; trans-1,2-Ethylenedicarboxylate; trans-But-2-enedioate; trans-Butenedioate; Fumarate; (2E)-But-2-enedioate; (2E)-But-2-enedioic acid; 2-(e)-Butenedioate; 2-(e)-Butenedioic acid; Allomaleate; Allomaleic acid; Boletate; Boletic acid; FC 33; Lichenate; Lichenic acid; trans-2-Butenedioate; trans-2-Butenedioic acid; Furamag; Mafusol; Fumaric acid	Prostate : Prostate gland	Extracellular : Extracellular region	Placenta	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Sweat | Cerebrospinal fluid : Csf	Membrane | Mitochondria | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Organic acids and derivatives	Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	SDHC; SDHA; SDHD; SDHB; DBH; ADSL; ASL; FAH; FH; ME2; FH; FAHD1	scFEA;Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0005971	HMDB05971	C04575	Diketogulonic acid	(4R,5S)-2,3-Dioxo-4,5,6-trihydroxyhexanoic acid; (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate; (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoic acid; 2,3-Diketo-L-gulonate; 2,3-Diketo-L-gulonic acid; 2,3-Dioxo-2,3-dideoxy-L-gulonic acid; 2,3-L-Diketogulonic acid; Diketo-L-gulonic acid; L-Threo-(2,3)-hexodiulosonsaeure; L-Threo-2,3-hexodiurosonic acid; Threo-2,3-hexodiulosonic acid; (4R,5S)-2,3-Dioxo-4,5,6-trihydroxyhexanoate; 2,3-Dioxo-2,3-dideoxy-L-gulonate; 2,3-L-Diketogulonate; Diketo-L-gulonate; L-Threo-2,3-hexodiurosonate; Threo-2,3-hexodiulosonate; Diketogulonate; 2,3-Diketogulonic acid; 2,3-Dioxo-D-gulonate; L-Threo-2,3-hexodiulosonic acid; L-Threo-hexo-2,3-diulosonic acid; Acid, 2,3-diketogulonic; 2,3 Diketogulonic acid; Diketo-gulonate; 2,3-Diketogulonate						Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds		Compass	Other
HMDB0012551	HMDB12551		12-oxo-20-dihydroxy-leukotriene B4	(5S,20,20)-Trihydroxy-12-keto-(6Z,8E,10E,14Z)-eicosatetraenoate; (5S,20,20)-Trihydroxy-12-keto-(6Z,8E,10E,14Z)-eicosatetraenoic acid; (5S,20,20)-Trihydroxy-12-oxo-(6Z,8E,10E,14Z)-eicosatetraenoate; (5S,20,20)-Trihydroxy-12-oxo-(6Z,8E,10E,14Z)-eicosatetraenoic acid; 12-keto-20,20-Dihydroxy-leukotriene b(,4); 12-oxo-20,20-Dihydroxy-leukotriene b(,4); Ox20dHLTB4		Extracellular : Extracellular region		Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Eicosanoids	Fatty Acyls		Compass	Extracellular
HMDB0000020	HMDB00020	C00642	p-Hydroxyphenylacetic acid	(p-Hydroxyphenyl)acetic acid; 4-Carboxymethylphenol; 4-Hydroxybenzeneacetic acid; 4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid; (p-Hydroxyphenyl)acetate; 4-Hydroxybenzeneacetate; p-Hydroxyphenylacetate; (4-Hydroxy-phenyl)-acetate; (4-Hydroxy-phenyl)-acetic acid; (4-Hydroxy-phenyl)-essigsaeure; (4-Hydroxyphenyl)acetate; (4-Hydroxyphenyl)acetic acid; (p-Hydroxyphenyl)-acetate; (p-Hydroxyphenyl)-acetic acid; 4-Hydroxy-benzeneacetate; 4-Hydroxy-benzeneacetic acid; 4-Hydroxyphenyl-acetic acid; Parahydroxy phenylacetate; Parahydroxy phenylacetic acid; Parahydroxyphenylacetate; Para-hydroxyphenylacetic acid; p-Hydroxyphenylacetic acid; 4'-Hydroxyphenylacetic acid; 2-(4-Hydroxyphenyl)acetic acid	Prostate : Prostate gland | Bladder | Kidney : Kidneys	Extracellular : Extracellular region	Epidermis	Saliva | Feces : Fecal - Stool - Faecal - Faeces | Urine | Blood | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma	Organic compounds	Benzenoids	1-hydroxy-2-unsubstituted benzenoids	Phenols	ALDH3A1; ALDH1A3; UGT1A1; ALDH3B2; ALDH3B1; SULT1A3	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0000641	HMDB00641	C00064	L-Glutamine	(2S)-2,5-Diamino-5-oxopentanoic acid; (2S)-2-Amino-4-carbamoylbutanoic acid; (S)-2,5-Diamino-5-oxopentanoic acid; Glutamic acid 5-amide; Glutamic acid amide; GLUTAMINE; L-(+)-Glutamine; L-2-Aminoglutaramic acid; L-Glutamic acid gamma-amide; L-Glutamin; L-Glutaminsaeure-5-amid; Levoglutamide; Q; Endari; Nutrestore; (2S)-2,5-Diamino-5-oxopentanoate; (2S)-2-Amino-4-carbamoylbutanoate; (S)-2,5-Diamino-5-oxopentanoate; Glutamate 5-amide; Glutamate amide; L-2-Aminoglutaramate; L-Glutamate g-amide; L-Glutamate gamma-amide; L-Glutamate γ-amide; L-Glutamic acid g-amide; L-Glutamic acid γ-amide; 2-Aminoglutaramic acid; Cebrogen; gamma-Glutamine; Glavamin; Glumin; L-2-Aminoglutaramidic acid; L-Glutamic acid 5-amide; L-Glutamid; L-Glutamide; Levoglutamid; Levoglutamida; Levoglutamidum; Levoglutamina; Polyglutamine; Stimulina; D-Glutamine; D Glutamine; L Glutamine	Intestine | Testicle : Testes - Testis | Spleen | Prostate : Prostate gland | Kidney : Kidneys | Pancreas	Extracellular : Extracellular region | Cell	Placenta | Skeletal muscle : Striated muscle | Adipose tissue : Fat tissue - Body fat - Adipose | Muscle | Epidermis	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Sweat | Cerebrospinal fluid : Csf	Mitochondria | Myelin sheath : Myelin | Cytoplasm : Cytoplasma	Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	GFPT2; GFPT1; PPAT; CCBL1; QARS; ASNS; GMPS; TGM3; TGM2; GLUL; F13A1; GLS2; CTPS1; TGM5; GLS; TGM4; TGM1; TGM6; TGM7; PFAS; PET112; SLC1A5; SLC7A8; SLC38A3; NADSYN1; CAD; CTPS2; SLC16A10; GLYATL1; PIG59; QRSL1; GATC	scFEA;Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0000172	HMDB00172	C00407	L-Isoleucine	(2S,3S)-2-Amino-3-methylpentanoic acid; 2-Amino-3-methylvaleric acid; alpha-Amino-beta-methylvaleric acid; I; Ile; ISOLEUCINE; (2S,3S)-2-Amino-3-methylpentanoate; 2-Amino-3-methylvalerate; a-Amino-b-methylvalerate; a-Amino-b-methylvaleric acid; alpha-Amino-beta-methylvalerate; Α-amino-β-methylvalerate; Α-amino-β-methylvaleric acid; (2S,3S)-2-Amino-3-methyl-pentanoate; (2S,3S)-2-Amino-3-methyl-pentanoic acid; (2S,3S)-a-Amino-b-methyl-N-valerate; (2S,3S)-a-Amino-b-methyl-N-valeric acid; (2S,3S)-a-Amino-b-methylvalerate; (2S,3S)-a-Amino-b-methylvaleric acid; (2S,3S)-Alph-amino-beta-methylvalerate; (2S,3S)-Alph-amino-beta-methylvaleric acid; (2S,3S)-alpha-Amino-beta-merthyl-N-valerate; (2S,3S)-alpha-Amino-beta-merthyl-N-valeric acid; (2S,3S)-alpha-Amino-beta-merthylvalerate; (2S,3S)-alpha-Amino-beta-merthylvaleric acid; (2S,3S)-alpha-Amino-beta-methyl-N-valerate; (2S,3S)-alpha-Amino-beta-methyl-N-valeric acid; (2S,3S)-alpha-Amino-beta-methylvalerate; (2S,3S)-alpha-Amino-beta-methylvaleric acid; (S)-Isoleucine; (S,S)-Isoleucine; 2-Amino-3-methylpentanoate; 2-Amino-3-methylpentanoic acid; 2S,3S-Isoleucine; Erythro-L-isoleucine; Iso-leucine; L-(+)-Isoleucine; L-Ile; [S-(R*,r*)]-2-amino-3-methylpentanoate; [S-(R*,r*)]-2-amino-3-methylpentanoic acid; Isoleucine, L-isomer; Alloisoleucine; Isoleucine, L isomer; L-Isomer isoleucine; 2S-Amino-3S-methylpentanoate; L-Isoleucine	Prostate : Prostate gland	Extracellular : Extracellular region	All tissues | Placenta	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Sweat | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Mitochondria	Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	BCAT1; BCAT2; IARS; ACADSB; SLC16A10; IL4I1; IARS2	scFEA;Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0006288	HMDB06288		All trans decaprenyl diphosphate	all trans Decaprenyl diphosphoric acid; Bis(3-methylbut-2-en-1-yl) ({bis[(3-methylbut-2-en-1-yl)oxy]phosphoryl}oxy)hexakis(3-methylbut-2-en-1-yl)phosphonic acid; all-trans-Decaprenyl diphosphoric acid		Extracellular : Extracellular region			Cytoplasm : Cytoplasma | Mitochondria | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Isoprenoid phosphates	Prenol lipids		Compass	Extracellular
HMDB0000985	HMDB00985	C00579	Dihydrolipoamide	6,8-Dimercaptooctanamide; Dihydrothioctamide; 6,8-Bis-sulfanyloctanamide; 6,8-Dimercapto-octanamide; 6,8-Disulfanyloctanamide; Dihydrolipoamide, (+-)-isomer				Urine	Mitochondria | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty amides	Fatty Acyls	DLD; DLST; DBT; DLAT	Compass	Other
HMDB0012916	HMDB12916		Cyanosulfurous acid anion	Cyanosulphurous acid anion; CNSu; Cyanosulfurous acid; Dihydroxy-λ⁴-sulphanyl						Organic compounds	Organosulfur compounds		Thiocyanates		Compass	Other
HMDB0000039	HMDB00039	C00246	Butyric acid	1-Butanoic acid; 1-Butyric acid; 1-Propanecarboxylic acid; 4:0; Acide butanoique; Acide butyrique; Butanic acid; Butanoate; Butanoic acid; Butoic acid; Buttersaeure; C4:0; CH3-[CH2]2-COOH; Ethylacetic acid; N-Butanoic acid; N-Butyric acid; Propanecarboxylic acid; Propylformic acid; Butyrate; 1-Butanoate; 1-Butyrate; 1-Propanecarboxylate; Butanate; Butoate; Ethylacetate; N-Butanoate; N-Butyrate; Propanecarboxylate; Propylformate; Honey robber; Kyselina maselna; Butyrate, magnesium; Magnesium butyrate; Acid, butyric; Butyrate, sodium; Dibutyrate, magnesium; Magnesium dibutyrate; Sodium butyrate; Acid, butanoic; Butyric acid magnesium salt; Butyric acid, sodium salt; FA(4:0); Butyric acid	Large intestine | Intestine | Prostate : Prostate gland | Kidney : Kidneys	Extracellular : Extracellular region | Cell	Muscle	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Membrane | Mitochondria | Cell membrane : Cellular membrane | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls	UGT1A1; BCHE; SLC16A1; TNF; PPARG; HDAC4; HDAC9; ACSM1; ACSM6; ACSM2A; ACSM2B; ACSM3; ACSM5; HDAC2; HDAC3; HDAC5; ACSM4	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0006552	HMDB06552	C06800	Aflatoxin B1	2,3,6Aalpha,9aalpha-tetrahydro-4-methoxycyclopenta(c)furo(3',2':4,5)furo(2,3-H)(1)benzopyran-1,11-dione; Aflatoxin b1 dihydrochloride, (6ar-cis)-isomer; Aflatoxin b1, (6ar-cis)-isomer, 14C-labeled; Aflatoxin b1, (6ar-cis)-isomer, 2H-labeled; Aflatoxin b1, cis(+,-)-isomer; Aflatoxin b; HSDB 3453; Aflatoxin b1, (6ar-cis)-isomer, 3H-labeled; HSDB-3453; (-)-Aflatoxin b1; AFB1; Aflatoxin B1		Extracellular : Extracellular region		Blood	Cytoplasm : Cytoplasma	Organic compounds	Phenylpropanoids and polyketides	Furanocoumarins	Coumarins and derivatives	CYP1A2; AKR7A2; AKR7A3; AKR7L	Compass	Extracellular | Blood
HMDB0001072	HMDB01072	C11378	Coenzyme Q10	2-((all-e)-3,7,11,15,19,23,27,31,35,39-Decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecaenyl)-5,6-dimethoxy-3-methyl-p-benzoquinone; 2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-Decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaen-1-yl]-5,6-dimethoxy-3-methyl-1,4-benzoquinone; Adelir; all-trans-Ubiquinone; CoQ; CoQ10; Q; Q 199; Q10; Ubidecarenone; Ubiquinone; Ubiquinone 10; Ubiquinone 50; UBIQUINONE-10; CoQ 10; 2,3-Dimethoxy-5-methyl-6-decaprenylbenzoquinone; Bio-quinone Q10; Ubiquinone Q10; Q-Ter; CO-Enzyme Q10; (all-e)-2,3-Dimethoxy-5-methyl-6-(3,7,11,15,19,23,27,31-octamethyl-2,6,10,14,18,22,26,30-dotriacontaoctaenyl)-2,5-cyclohexadiene-1,4-dione; (all-e)-2-(3,7,11,15,19,23,27,31,35,39-Decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecaenyl)-5,6-dimethoxy-3-methyl-2,5-cyclohexadiene-1,4-dione; 2-(3,7,11,15,19,23,27,31,35,39-Decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecaenyl)-5,6-dimethoxy-3-methyl-p-benzoquinone; 2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-Decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecaenyl]-5,6-dimethoxy-3-methyl- 2,5-cyclohexadiene-1,4-dione; 4-Ethyl-5-fluoropyrimidine; Aqua Q 10l10; Aqua Q10; Bio-quinon; Ensorb; Kaneka Q10; Kudesan; Li-Q-sorb; Liquid-Q; Neuquinon; Neuquinone; PureSorb Q 40; Q 10AA; Q-Gel; Q-Gel 100; Unbiquinone; Unispheres Q 10; Coenzyme Q10	Brain | Liver | Kidney : Kidneys	Extracellular : Extracellular region	Skeletal muscle : Striated muscle | Muscle	Blood	Cytoplasm : Cytoplasma | Membrane | Mitochondria | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Quinone and hydroquinone lipids	Prenol lipids	MT-ND1; NDUFS2; MT-ND4L; MT-ND5; NDUFS3; NDUFV2; SDHA; NDUFS8; MT-ND2; NDUFS1; ETFDH; MT-ND4; NDUFS7; MT-ND3; NDUFV1; MT-ND6; SDHB	Compass	Extracellular | Blood
HMDB0002003	HMDB02003	C08320	Tetracosanoic acid	CH3-[CH2]22-COOH; Lignoceric acid; Lignozerinsaeure; N-Tetracosanoic acid; Tetracosanic acid; Tetracosansaeure; Tetracosoic acid; Tetraeicosanoic acid; Tetraicosanoic acid; Lignocerate; N-Tetracosanoate; Tetracosanate; Tetracosoate; Tetraeicosanoate; Tetraicosanoate; Tetracosanoate; Lignoceric acid, silver (1+) salt; Lignoceric acid, sodium salt; Lignoceric acid, potassium salt; Tetracosanoic acid, potassium salt (1:1); Potassium tetracosanoate; Tetracosanoic acid; FA(24:0)		Extracellular : Extracellular region | Cell		Feces : Fecal - Stool - Faecal - Faeces | Blood | Urine	Cytoplasm : Cytoplasma | Membrane | Peroxisome : Peroxisome vesicle - Peroxisomal | Cell membrane : Cellular membrane | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls	ACSL1	Compass	Extracellular | Blood
HMDB0000416	HMDB00416		17-Hydroxypregnenolone sulfate	17-Hydroxypregnenolone sulfuric acid; 17-Hydroxypregnenolone sulphate; 17-Hydroxypregnenolone sulphuric acid; 17-Hydroxy-pregnenolone sulfate; 17-Hydroxy-pregnenolone sulphate; 17-Hydroxypregnenolone 3-sulfate; 17-Hydroxypregnenolone 3-sulphate; 17alpha-Hydroxypregnenolone sulfate; 17alpha-Hydroxypregnenolone sulphate; 17b-Hydroxypregnenolone 3-sulfate; 17b-Hydroxypregnenolone 3-sulphate; 17 alpha-Hydroxypregnenolone sulfate	Liver | Kidney : Kidneys | Endocrine gland	Extracellular : Extracellular region	Hepatic tissue : Liver tissue	Urine | Blood	Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Sulfated steroids	Steroids and steroid derivatives		Compass	Extracellular | Blood
HMDB0001533	HMDB01533	C00143	5,10-Methylene-THF	(6R)-5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolic acid; 5,10-Methenyltetrahydropteroylglutamate; 5,10-Methylene-6-hydrofolate; 5,10-Methylene-6-hydrofolic acid; 5,10-Methylenetetrahydrofolate; 5,10-Methylenetetrahydrofolic acid; N5>,N10-methylenetetrahydrofolate; 5,10-Methylene-5,6,7,8-tetrahydrofolate; Tetrahydromethylenefolate; 5,10-Methylenetetrahydrofolate, (D-glu)-isomer; CH2H4Folate; 5,10-Methylenetetrahydrofolate monohydrochloride, (L-glu)-isomer; 5,10-Methylenetetrahydrofolate, (L-glu)-(S)-isomer				Blood	Mitochondria | Cytoplasm : Cytoplasma	Organic compounds	Organoheterocyclic compounds	Pterins and derivatives	Pteridines and derivatives	MTHFR; AMT; SHMT2; SHMT1; MTHFD2; MTHFD1; GCSH; TYMS; MTHFD2L; MTHFD1L; MTHFD2	Compass	Blood
HMDB0012606	HMDB12606		18,20-Dioxo-20-CoA-leukotriene B4	CoA-20-COOH-18-oxo-LTB(,4); coenzyme A-20-COOH-18-oxo-LTB(,4); 20-({2-[(3-{[4-({[({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)-1,2-dihydroxy-3,3-dimethylbutylidene]amino}-1-hydroxypropylidene)amino]ethyl}sulfanyl)-5,12-dihydroxy-18,20-dioxoicosa-6,8,10,14-tetraenoate; 20-({2-[(3-{[4-({[({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)-1,2-dihydroxy-3,3-dimethylbutylidene]amino}-1-hydroxypropylidene)amino]ethyl}sulphanyl)-5,12-dihydroxy-18,20-dioxoicosa-6,8,10,14-tetraenoate; 20-({2-[(3-{[4-({[({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)-1,2-dihydroxy-3,3-dimethylbutylidene]amino}-1-hydroxypropylidene)amino]ethyl}sulphanyl)-5,12-dihydroxy-18,20-dioxoicosa-6,8,10,14-tetraenoic acid		Extracellular : Extracellular region		Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls		Compass	Extracellular
HMDB0002232	HMDB02232	C14769	8,9-Epoxyeicosatrienoic acid	(+/-)8,9-epetre; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid; 8,9-Epoxy-5Z,11Z,14Z-eicosatrienoic acid; 8,9-Epoxy-5Z,11Z,14Z-icosatrienoic acid; 8,9-Epoxyicosatrienoic acid; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoate; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoate; 8,9-Epoxy-5Z,11Z,14Z-eicosatrienoate; 8,9-Epoxy-5Z,11Z,14Z-icosatrienoate; 8,9-Epoxyicosatrienoate; 8,9-Epoxyeicosatrienoate; 8,9-Eet; 8,9-Epoxyeicosatrienoic acid, (2alpha(Z),3alpha(2Z,5Z))-isomer		Extracellular : Extracellular region		Blood | Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls	CYP3A4; CYP2C9; CYP2C19; CYP2E1; CYP3A43; CYP1B1; CYP2C18; CYP2F1; CYP4X1; CYP2B6; CYP3A5; CYP2A13; CYP3A7; CYP4B1; CYP4Z1; CYP1A2; CYP19A1; CYP2C8; CYP2S1; CYP2J2; CYP2A7; CYP2A6; EPHX2; CYP1A1; CYP2D6	Compass	Extracellular | Blood
HMDB0001248	HMDB01248	C00016	FAD	Adenosine 5'-(trihydrogen pyrophosphate), 5'-5'-ester with riboflavine; Adenosine 5'-[3-(riboflavin-5'-yl) dihydrogen diphosphate]; Flavin adenine dinucleotide; FLAVIN-adenine dinucleotide; Riboflavin 5'-(trihydrogen diphosphate), 5'-5'-ester with adenosine; Riboflavin 5'-adenosine diphosphate; Adeflavin; Adenosine 5'-(trihydrogen pyrophosphoric acid), 5'-5'-ester with riboflavine; Adenosine 5'-[3-(riboflavin-5'-yl) dihydrogen diphosphoric acid]; Riboflavin 5'-(trihydrogen diphosphoric acid), 5'-5'-ester with adenosine; Riboflavin 5'-adenosine diphosphoric acid; 1H-Purin-6-amine flavin dinucleotide; 1H-Purin-6-amine flavine dinucleotide; Adenine-flavin dinucleotide; Adenine-flavine dinucleotide; Adenine-riboflavin dinuceotide; Adenine-riboflavin dinucleotide; Adenine-riboflavine dinucleotide; Flamitajin b; Flanin F; Flavin adenine dinucleotide oxidized; Flavine adenosine diphosphate; Flavine-adenine dinucleotide; Flavitan; Flaziren; Isoalloxazine-adenine dinucleotide; Riboflavin-adenine dinucleotide; Riboflavine-adenine dinucleotide; Dinucleotide, flavin-adenine	Liver		Muscle | Placenta	Feces : Fecal - Stool - Faecal - Faeces | Blood	Cytoplasm : Cytoplasma | Mitochondria | Endoplasmic reticulum : Er | Peroxisome : Peroxisome vesicle - Peroxisomal	Organic compounds	Nucleosides, nucleotides, and analogues		Flavin nucleotides	DLD; ACADL; ACADS; ACADM; MT-ND1; NDUFB1; ENPP1; NDUFS2; SDHC; PIPOX; PAOX; NDUFA12; CYB5R3; AOX1; NDUFA1; NDUFA4L2; NDUFA3; NDUFA8; NDUFA4; MT-ND4L; NDUFA11; TXNRD1; SC5DL; NDUFS4; NQO2; NDUFS3; NDUFS5; NDUFV2; FMO5; NDUFA10; NDUFA6; ACOX1; DDO; NDUFB4; SDHA; HMOX2; NDUFS8; SQLE; MT-ND2; FMO2; NDUFA7; TXNRD2; NDUFA2; MTR; MAOB; NDUFS1; NDUFB5; ACOX2; FMO4; IVD; MAOA; NDUFC2; FMO3; NDUFB3; NDUFB7; NDUFAB1; NDUFA5; ETFDH; NDUFA9; MT-ND4; SDHD; NDUFS7; XDH; POR; DHODH; FMO1; NDUFV1; NDUFB9; MTHFR; MT-ND6; NDUFA13; NDUFS6; ACOX3; SDHB; ENPP3; GSR; GPD2; HMOX1; ALDH1A1; CHDH; GCDH; DMGDH; FDXR; ALDH1A2; DAO; MTRR; DUS2L; BLVRB; DPYD; SARDH; NOS2; NOS1; NOS3; PPOX; NDUFB11; AGPS; ACADSB; NQO1; CYBB; ETFA; FMO6P; DHCR24; APP; ETFB; PRODH; D2HGDH; L2HGDH; DAK; KMO; SMOX; AIFM1; CRY1; DUOX2; LDHD; ACAD8; ACAD9; PRODH2; DUOX1; TXNRD3; CYB5R1; CYB5R2; CYB5R4; CYB5RL; DKFZp686B0215; FLAD1; COQ6; NOX5; NOX3; STEAP3; ACADVL; ACOXL; AIFM2; AIFM3; GFER; KDM1B; CRY2; DUS1L; DUS3L; DUS4L; ERO1L; ERO1LB; FOXRED1; FOXRED2; KDM1A; MICAL1; MICAL2; MICAL3; MTO1; NDOR1; NOX1; NOX4; IL4I1; OXNAD1; PCYOX1; PCYOX1L; PDP2; PYROXD1; QSOX1; QSOX2; RNLS; RETSAT; SQRDL; STEAP1; STEAP2; STEAP4; NDUFB2	Compass	Blood
HMDB0000482	HMDB00482	C06423	Caprylic acid	1-Heptanecarboxylic acid; 8:0; Acide octanoique; Acido octanoico; Acidum octanocium; Acidum octanoicum; C8:0; CH3-[CH2]6-COOH; Kaprylsaeure; N-Caprylic acid; N-Octanoic acid; N-Octoic acid; N-Octylic acid; OCTANOIC ACID (caprylIC ACID); Octansaeure; Octoic acid; Octylic acid; Octanoate; 1-Heptanecarboxylate; N-Caprylate; N-Octanoate; N-Octoate; N-Octylate; OCTANOate (caprylate); Octoate; Octylate; Octanoic acid; Caprylate; Emery 657; Kortacid 0899; Lunac 8-95; Lunac 8-98; Neo-fat 8; Neo-fat 8S; Prifac 2901; Caprylic acid, cadmium salt; Caprylic acid, cesium salt; Caprylic acid, manganese salt; Caprylic acid, nickel(+2) salt; Caprylic acid, zinc salt; Caprylic acid, aluminum salt; Caprylic acid, barium salt; Caprylic acid, chromium(+2) salt; Caprylic acid, lead(+2) salt; Caprylic acid, potassium salt; Caprylic acid, tin(+2) salt; Sodium octanoate; Caprylic acid, 14C-labeled; Caprylic acid, lithium salt; Caprylic acid, ruthenium(+3) salt; Caprylic acid, sodium salt; Caprylic acid, sodium salt, 11C-labeled; Caprylic acid, tin salt; Caprylic acid, zirconium salt; Sodium caprylate; Caprylic acid, ammonia salt; Caprylic acid, calcium salt; Caprylic acid, cobalt salt; Caprylic acid, copper salt; Caprylic acid, copper(+2) salt; Caprylic acid, iridum(+3) salt; Caprylic acid, iron(+3) salt; Caprylic acid, lanthanum(+3) salt; Caprylic acid, zirconium(+4) salt; FA(8:0); Lithium octanoate		Extracellular : Extracellular region	Epidermis | Placenta	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Sweat | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls	CROT; CPT2; SLC22A11; SLC25A20; SLC22A6	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0012931	HMDB12931		Dopachrome o-semiquinone	DCSQ; Leukodopachrome O-semiquinone radical						Organic compounds	Organoheterocyclic compounds	Indolecarboxylic acids and derivatives	Indoles and derivatives		Compass	Other
HMDB0006505	HMDB06505		Lumisterol 3	(3b,9b,10a)-Cholesta-5,7-dien-3-ol; 9b,10a-Cholesta-5,7-dien-3b-ol; 9beta,10alpha-Cholesta-5,7-dien-3beta-ol		Extracellular : Extracellular region	Hepatic tissue : Liver tissue | All tissues | Adipose tissue : Fat tissue - Body fat - Adipose	Urine	Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Cholestane steroids	Steroids and steroid derivatives		Compass	Extracellular
