mouse_gene,human_gene
Tmprss12,TMPRSS12
Hpse2,HPSE2
Fam184b,FAM184B
Ankrd2,ANKRD2
Prkx,PRKX
Prkx,PRKY
Pigt,PIGT
Wfdc2,WFDC2
Wfdc5,WFDC5
Sh2d4b,SH2D4B
Camta2,CAMTA2
Hck,HCK
Gprc5b,GPRC5B
Gm5767,LITAFD
Arhgap22,ARHGAP22
Snph,SNPH
Cep43,CEP43
Tuba1a,TUBA1A
Dock9,DOCK9
Dbf4,DBF4
Asap1,ASAP1
Osbp2,OSBP2
Cul5,CUL5
Rps6kb1,RPS6KB1
Myorg,MYORG
Spata13,SPATA13
Capn5,CAPN5
Kpna1,KPNA1
Mamdc2,MAMDC2
Mapk9,MAPK9
Gnpda2,GNPDA2
Gnpda1,GNPDA1
Cenpc1,CENPC
Ntng1,NTNG1
Tbc1d22b,TBC1D22B
Tmem132b,TMEM132B
Slc22a21,SLC22A5
Zmat4,ZMAT4
Lrrc34,LRRC34
Tnk2,TNK2
Fam169a,FAM169A
Prr11,PRR11
Ppp1r17,PPP1R17
Phf24,PHF24
Plac8l1,PLAC8L1
Sh3kbp1,SH3KBP1
Grpel2,GRPEL2
Fbxw9,FBXW9
Dip2a,DIP2A
Gm12169,HAVCR1
BC053393,HAVCR1
Ehbp1l1,EHBP1L1
Htr4,HTR4
Leap2,LEAP2
Fam89b,FAM89B
Stk32b,STK32B
Stk32a,STK32A
Smg8,SMG8
Gadd45gip1,GADD45GIP1
Lrrc31,LRRC31
Jakmip2,JAKMIP2
Cd8b1,CD8B
Cd8b1,CD8B2
Ccdc92b,CCDC92B
Dym,DYM
Rhbdd2,RHBDD2
Haus1,HAUS1
H2-Ea,HLA-DRA
Pdk1,PDK1
H2-Eb1,HLA-DRB1
H2-Eb1,HLA-DRB5
H2-Ab1,HLA-DQB2
Prkag3,PRKAG3
Bicdl1,BICDL1
2900026A02Rik,KIAA1671
Caps2,CAPS2
Mtus2,MTUS2
Pigo,PIGO
Kcnn3,KCNN3
Epb41l4b,EPB41L4B
Cd28,CD28
Epm2a,EPM2A
Tbc1d2b,TBC1D2B
Arhgap19,ARHGAP19
Cdh26,CDH26
Cenpw,CENPW
Cd79a,CD79A
Tstd3,TSTD3
Fbxo21,FBXO21
Vgll4,VGLL4
Virma,VIRMA
Nfatc3,NFATC3
Mfap5,MFAP5
Foxp4,FOXP4
Lhfpl5,LHFPL5
Clcn5,CLCN5
Cdh3,CDH3
Serpina11,SERPINA11
Serpina3a,SERPINA3
Serpina3g,SERPINA3
Serpina1f,SERPINA2
Serpina3b,SERPINA3
Serpina12,SERPINA12
Serpina6,SERPINA6
Serpina9,SERPINA9
Serpina5,SERPINA5
Serpina7,SERPINA7
Serpina3j,SERPINA3
Zfp366,ZNF366
Nexmif,NEXMIF
Colq,COLQ
Colq,COLQ
Ubox5,UBOX5
Gpr63,GPR63
Best1,BEST1
Smpd1,SMPD1
Cd209c,CD209
Cd209d,CD209
Cd209e,CD209
Lzts3,LZTS3
Cd209b,CD209
Cd209b,CLEC4M
Cdan1,CDAN1
Ltc4s,LTC4S
Frk,FRK
Tmem145,TMEM145
Trex1,TREX1
Trex2,TREX2
Stx12,STX12
Tmem196,TMEM196
Twist2,TWIST2
Car1,CA1
Car3,CA3
Car13,CA13
Dtymk,DTYMK
Prim1,PRIM1
Cdc27,CDC27
Zfp646,ZNF646
Efcc1,EFCC1
Eogt,EOGT
Arhgef10l,ARHGEF10L
Scube3,SCUBE3
Proz,PROZ
Shroom3,SHROOM3
Stbd1,STBD1
Cep164,CEP164
Phf21b,PHF21B
Creb5,CREB5
Limd2,LIMD2
Bcl6b,BCL6B
Slc16a11,SLC16A11
Slc16a13,SLC16A13
Plau,PLAU
Tnfrsf11a,TNFRSF11A
Pop1,POP1
Tmem138,TMEM138
Tnip2,TNIP2
Pnpla2,PNPLA2
Ppp1r32,PPP1R32
Dusp8,DUSP8
Jmjd8,JMJD8
Grm5,GRM5
Nfatc2,NFATC2
Gcnt7,GCNT7
Gcnt2,GCNT2
Itch,ITCH
Snta1,SNTA1
Ptgfr,PTGFR
Helz2,HELZ2
Pcif1,PCIF1
Nav1,NAV1
Sting1,STING1
Sec24a,SEC24A
Tmem132e,TMEM132E
Mcm8,MCM8
Snx8,SNX8
Fam161b,FAM161B
Tmem63c,TMEM63C
Igsf11,IGSF11
Tmem260,TMEM260
Pgf,PGF
Pkd1,PKD1
Nfkbil1,NFKBIL1
Gal3st3,GAL3ST3
B4gat1,B4GAT1
Masp1,MASP1
Tapbpl,TAPBPL
Itfg1,ITFG1
Psmg4,PSMG4
P2ry1,P2RY1
Ric1,RIC1
Slc38a8,SLC38A8
Vgf,VGF
Mesp1,MESP1
Arhgef37,ARHGEF37
Arhgef12,ARHGEF12
Dmxl2,DMXL2
Brinp3,BRINP3
Apcdd1,APCDD1
Msantd4,MSANTD4
Gucy1a2,GUCY1A2
Ano8,ANO8
Ushbp1,USHBP1
Abcf3,ABCF3
Crocc,CROCC
Acer2,ACER2
Acsf3,ACSF3
Xrcc2,XRCC2
Plppr1,PLPPR1
Tbata,TBATA
Plppr2,PLPPR2
Adamts17,ADAMTS17
Dydc2,DYDC2
Dydc1,DYDC1
Adamtsl3,ADAMTSL3
Iffo2,IFFO2
Serinc4,SERINC4
Lmf1,LMF1
Chd3,CHD3
Alx3,ALX3
Alpk3,ALPK3
Ankrd52,ANKRD52
Dnajc14,DNAJC14
Snx25,SNX25
Arhgap33,ARHGAP33
Snx29,SNX29
Ankrd34c,ANKRD34C
Ankrd27,ANKRD27
Ano9,ANO9
Slc16a5,SLC16A5
Pappa,PAPPA
Phf13,PHF13
Phldb1,PHLDB1
Clcc1,CLCC1
Alppl2,ALPG
Alppl2,ALPI
Alppl2,ALPP
Akp3,ALPI
Mcoln3,MCOLN3
Syde2,SYDE2
Atp8b4,ATP8B4
Pigv,PIGV
Fam166c,FAM166C
Ube2d2a,UBE2D2
Ube2d2b,UBE2D2
Ube2d2b,UBE2D3
Slc38a3,SLC38A3
Uba7,UBA7
Cib3,CIB3
Shtn1,SHTN1
Kcna4,KCNA4
Ano1,ANO1
Sh3bp1,SH3BP1
Cdc42ep1,CDC42EP1
Slc16a8,SLC16A8
Csgalnact1,CSGALNACT1
Adgrg4,ADGRG4
Map7d3,MAP7D3
Ndp,NDP
Ifi30,IFI30
Tmem94,TMEM94
Gask1a,GASK1A
Tbc1d16,TBC1D16
Itgam,ITGAM
Ecm1,ECM1
Nfkb1,NFKB1
Tubgcp6,TUBGCP6
Chadl,CHADL
Mrtfa,MRTFA
Pfkl,PFKL
Prrt2,PRRT2
Gmnc,GMNC
Ostn,OSTN
Kat6b,KAT6B
Dnase2a,DNASE2
Pask,PASK
Zfp654,ZNF654
Nans,NANS
Fmnl3,FMNL3
Msl2,MSL2
Wbp1l,WBP1L
Igflr1,IGFLR1
Lsg1,LSG1
Pdcl,PDCL
Dcaf15,DCAF15
Bri3,BRI3
Nob1,NOB1
Wdtc1,WDTC1
Sclt1,SCLT1
H1f0,H1-0
Stag2,STAG2
Chfr,CHFR
Ddx31,DDX31
R3hcc1l,R3HCC1L
Nol11,NOL11
Atn1,ATN1
Tcn2,TCN2
Mn1,MN1
Knl1,KNL1
Hdac10,HDAC10
Cntn5,CNTN5
Ccdc82,CCDC82
Bard1,BARD1
Sufu,SUFU
Ints13,INTS13
Exd2,EXD2
Banf1,BANF1
Vps41,VPS41
Tns1,TNS1
Qsox1,QSOX1
Lrp1,LRP1
Fam162b,FAM162B
Fam162a,FAM162A
Btg1c,BTG1
Btg1,BTG1
Btg1b,BTG1
B4galnt3,B4GALNT3
Ptx3,PTX3
Scaf4,SCAF4
Emc10,EMC10
Zc3h3,ZC3H3
Dmtn,DMTN
Colec12,COLEC12
Rreb1,RREB1
Gid8,GID8
Atmin,ATMIN
Mrtfb,MRTFB
Evpl,EVPL
Padi1,PADI1
Padi4,PADI4
Padi6,PADI6
Padi3,PADI3
Padi2,PADI2
Gtf3c6,GTF3C6
Nol12,NOL12
Nipsnap3b,NIPSNAP3A
Nipsnap3b,NIPSNAP3B
Znhit3,ZNHIT3
Cwc27,CWC27
Spata6l,SPATA6L
Adprm,ADPRM
Ndufv2,NDUFV2
Lypla2,LYPLA2
Tbcel,TBCEL
Dbil5,DBIL5P
Dbi,DBI
Cops9,COPS9
Rnf185,RNF185
Ralbp1,RALBP1
Slc22a2,SLC22A2
Slc22a1,SLC22A1
Ap2s1,AP2S1
Parp16,PARP16
Rsrc1,RSRC1
Rad51d,RAD51D
Ube2f,UBE2F
Ppm1n,PPM1N
Ube2j1,UBE2J1
Rnf13,RNF13
Clec16a,CLEC16A
Inip,INIP
Pdcd2l,PDCD2L
Rcan2,RCAN2
Guk1,GUK1
Sntb1,SNTB1
Anks4b,ANKS4B
Sh3bgrl2,SH3BGRL2
Trub2,TRUB2
Tpgs2,TPGS2
Aar2,AAR2
Nceh1,NCEH1
Zfyve19,ZFYVE19
Abhd17b,ABHD17B
Rpp25l,RPP25L
Ska1,SKA1
Hvcn1,HVCN1
Coq8a,COQ8A
Tsr3,TSR3
Pomp,POMP
Mfsd6l,MFSD6L
Fam219a,FAM219A
Cks1b,CKS1B
Cks1brt,CKS1B
Tmem223,TMEM223
Wdr54,WDR54
Lipi,LIPI
Liph,LIPH
Sh3bgr,SH3BGR
Fam151b,FAM151B
Vps26c,VPS26C
Commd5,COMMD5
Bola1,BOLA1
Cnfn,CNFN
Cplane2,CPLANE2
Mrps10,MRPS10
Chchd6,CHCHD6
Gpatch4,GPATCH4
Tsen15,TSEN15
Tmco4,TMCO4
Fmod,FMOD
Pcnp,PCNP
Lrrc23,LRRC23
Cdkn2aipnl,CDKN2AIPNL
Mettl1,METTL1
Galnt2,GALNT2
Naa25,NAA25
Zfp236,ZNF236
Cenpf,CENPF
Zfp687,ZNF687
Angptl4,ANGPTL4
Tasor2,TASOR2
Elac2,ELAC2
Tbc1d25,TBC1D25
Snx11,SNX11
E2f8,E2F8
Fam83d,FAM83D
Trmt10c,TRMT10C
Haus5,HAUS5
Slc37a1,SLC37A1
Thg1l,THG1L
Slc6a1,SLC6A1
Cope,COPE
Sptlc3,SPTLC3
Ndrg2,NDRG2
Pced1b,PCED1B
Pced1a,PCED1A
Nxnl2,NXNL2
Rassf4,RASSF4
Nup210,NUP210
Eif5b,EIF5B
Phip,PHIP
Atp8b3,ATP8B3
Cgn,CGN
Fam210a,FAM210A
Pik3c2b,PIK3C2B
Ly75,LY75
Ly75,LY75-CD302
Kcnk6,KCNK6
Hunk,HUNK
Fam222a,FAM222A
Mettl21a,METTL21A
Fam221a,FAM221A
Cr1l,CR1
Cr1l,CR1L
Psmd5,PSMD5
Gm2a,GM2A
Slc18b1,SLC18B1
Anapc16,ANAPC16
Ift22,IFT22
Mpzl1,MPZL1
Afdn,AFDN
Tmem123,TMEM123
Iqsec3,IQSEC3
Rad50,RAD50
Lpcat2,LPCAT2
Lpcat2b,LPCAT2BP
Wdr13,WDR13
Mau2,MAU2
Gda,GDA
Sun1,SUN1
Zfand3,ZFAND3
Nif3l1,NIF3L1
Nsun3,NSUN3
Kansl3,KANSL3
Rnf121,RNF121
Arhgap12,ARHGAP12
Fstl3,FSTL3
Uri1,URI1
Pdf,PDF
Rnf11,RNF11
Ccdc22,CCDC22
Rpl22,RPL22
Kcnk2,KCNK2
Saxo2,SAXO2
Brat1,BRAT1
Gpnmb,GPNMB
Fam133b,FAM133A
Fam133b,FAM133B
Rftn1,RFTN1
Gmeb1,GMEB1
Col16a1,COL16A1
Xpr1,XPR1
Lingo3,LINGO3
Ahdc1,AHDC1
Tmem160,TMEM160
Ankrd34b,ANKRD34B
Tet3,TET3
Rusc2,RUSC2
Tpcn1,TPCN1
Iqcd,IQCD
Entr1,ENTR1
Wdr66,CFAP251
Fam214b,FAM214B
Rasa4,RASA4
Rasa4,RASA4B
Cyb561a3,CYB561A3
Ercc6l,ERCC6L
Acad9,ACAD9
Lhx4,LHX4
Trmt1,TRMT1
Mlh3,MLH3
Emc1,EMC1
Ccdc51,CCDC51
Srrd,SRRD
Extl2,EXTL2
F13a1,F13A1
Eva1a,EVA1A
Blvra,BLVRA
Rpusd1,RPUSD1
Got1l1,GOT1L1
Eef1aknmt,METTL13
Tkfc,TKFC
Tafa4,TAFA4
Nxpe3,NXPE3
Pros1,PROS1
Ap1b1,AP1B1
Tma7,TMA7
Tma7-ps,TMA7
Larp4b,LARP4B
Commd8,COMMD8
Sgms1,SGMS1
Ece1,ECE1
Pkn1,PKN1
Lactbl1,LACTBL1
Bcl11b,BCL11B
Zbbx,ZBBX
Nfkbie,NFKBIE
Elp5,ELP5
Ccdc170,CCDC170
Pank2,PANK2
Pank3,PANK3
Mesd,MESD
Pcnx4,PCNX4
Ndufaf5,NDUFAF5
Pla2g12a,PLA2G12A
Mgat2,MGAT2
Fgf9,FGF9
Tasp1,TASP1
Wdr90,WDR90
Sugp1,SUGP1
Lhpp,LHPP
Rragd,RRAGD
Tmem205,TMEM205
Vezt,VEZT
Kremen1,KREMEN1
Kremen2,KREMEN2
Znrf3,ZNRF3
Spata2l,SPATA2L
Fbrsl1,FBRSL1
Bsnd,BSND
Amer2,AMER2
Rictor,RICTOR
Kbtbd6,KBTBD6
Kbtbd7,KBTBD7
Kcnh3,KCNH3
Ppp2r3d,PPP2R3B
Dgkh,DGKH
Pxdc1,PXDC1
Tmem59,TMEM59
U2surp,U2SURP
Cdyl,CDY2B
Cdyl,CDYL
Ppp2r3a,PPP2R3A
Htr3b,HTR3B
Gcfc2,GCFC2
Spg20,SPART
Gimap1,GIMAP1
Gimap5,GIMAP1-GIMAP5
Gimap5,GIMAP5
Gimap3,GIMAP1-GIMAP5
Gimap3,GIMAP5
Gimap6,GIMAP6
Plekhs1,PLEKHS1
Kcnk15,KCNK15
Kcnq2,KCNQ2
Tbrg1,TBRG1
Prelp,PRELP
Slitrk2,SLITRK2
Sox18,SOX18
Exoc3l4,EXOC3L4
Cntn6,CNTN6
Cntn3,CNTN3
Cntn4,CNTN4
Trpc6,TRPC6
Fbxl20,FBXL20
Zfp651,ZBTB47
Cdkn2c,CDKN2C
Tctn1,TCTN1
Mettl11b,NTMT2
Plat,PLAT
Rnf216,RNF216
Dclk3,DCLK3
Wsb2,WSB2
Eps15,EPS15
Steap3,STEAP3
Lyrm4,LYRM4
Arpp21,ARPP21
Pttg1,PTTG1
Pttg1,PTTG2
Pttg1,PTTG3P
Sdk1,SDK1
C7,C7
Adamts10,ADAMTS10
Phf11c,PHF11
Phf11b,PHF11
Phf11a,PHF11
Phf11d,PHF11
Phf11,PHF11
Ccdc173,CFAP210
Bend5,BEND5
Kansl1l,KANSL1L
Zfp692,ZNF692
Myo1f,MYO1F
Vsig8,VSIG8
Rasef,RASEF
C1ql2,C1QL2
Soat1,SOAT1
Anapc1,ANAPC1
Acoxl,ACOXL
Kif1c,KIF1C
Htr1f,HTR1F
Pcnx2,PCNX2
Samd10,SAMD10
Iqce,IQCE
Tet2,TET2
Wdr17,WDR17
Cxxc4,CXXC4
Ap5s1,AP5S1
Samd1,SAMD1
Atp10d,ATP10D
Fam217b,FAM217B
Pik3ap1,PIK3AP1
Ttc3,TTC3
Cracdl,CRACDL
Ky,KY
Coa8,COA8
Lrrc32,LRRC32
Atp6v0a2,ATP6V0A2
Yme1l1,YME1L1
Stard13,STARD13
Zfyve16,ZFYVE16
Kcnv2,KCNV2
Ccny,CCNY
Gfi1b,GFI1B
Gabrg2,GABRG2
Tmlhe,TMLHE
Tmem179b,TMEM179B
Igsf5,IGSF5
Itprid1,ITPRID1
Caln1,CALN1
Supt20,SUPT20H
Supt20,SUPT20HL1
Supt20,SUPT20HL2
Ccdc169,CCDC169
Dnaaf3,DNAAF3
Mis18a,MIS18A
Rfxap,RFXAP
Eva1c,EVA1C
Depdc5,DEPDC5
Swi5,SWI5
Tmem108,TMEM108
Tmem163,TMEM163
Rassf9,RASSF9
Elmod3,ELMOD3
Dlec1,DLEC1
Fam163b,FAM163B
Clstn3,CLSTN3
Trak1,TRAK1
Kcnj14,KCNJ14
Col5a2,COL5A2
Cnga1,CNGA1
Slc6a2,SLC6A2
Tecta,TECTA
Rft1,RFT1
Sost,SOST
B3glct,B3GLCT
Nfxl1,NFXL1
Gckr,GCKR
Tti2,TTI2
Rbm27,RBM27
Tbx19,TBX19
Cenpx,CENPX
Syce1l,SYCE1L
Syce1,SYCE1
Smim26,SMIM26
Mfsd14b,MFSD14B
Cd164l2,CD164L2
Wdr59,WDR59
Susd5,SUSD5
B3galt1,B3GALT1
Cd300lf,CD300LF
Cd300lg,CD300LG
Pigr,PIGR
Fcamr,FCAMR
Misp3,MISP3
Rskr,RSKR
Methig1,METTL7A
Mettl7b,METTL7B
Mettl7a3,METTL7A
Mettl7a2,METTL7A
Nacc1,NACC1
Phox2a,PHOX2A
Stard3,STARD3
Ntrk2,NTRK2
Skiv2l,SKIV2L
Prrc2a,PRRC2A
Blzf1,BLZF1
Ppp1r12c,PPP1R12C
Casq2,CASQ2
Capn9,CAPN9
Sec22b,SEC22B
Arpc4,ARPC4
Arpc4,ARPC4-TTLL3
Gbx1,GBX1
Nutf2-ps2,NUTF2
Abl2,ABL2
Eef2k,EEF2K
Trh,TRH
Ccng2,CCNG2
Ap3m2,AP3M2
Btaf1,BTAF1
Suclg2,SUCLG2
Ppan,PPAN
Ppan,PPAN-P2RY11
Impdh2,IMPDH2
Lars,LARS1
Gapdh-ps15,GAPDH
Gapdh,GAPDH
Bckdhb,BCKDHB
Nars,NARS1
Sirt2,SIRT2
Rnf148,RNF148
Rnf128,RNF128
Rnf133,RNF133
Exoc1,EXOC1
Hsdl2,HSDL2
Litaf,LITAF
Cnot9,CNOT9
Ddx3x,DDX3X
Anapc5,ANAPC5
Dnajc5g,DNAJC5G
Rexo1,REXO1
Rexo1,REXO1L1P
Wdhd1,WDHD1
H2aw,H2AW
H2ac21,H2AC20
H2ac21,H2AC21
Acap3,ACAP3
Appbp2,APPBP2
Ell2,ELL2
Cers5,CERS5
Ist1,IST1
Ace3,ACE3P
Ace,ACE
Smurf2,SMURF2
Ankrd13a,ANKRD13A
Smarcd1,SMARCD1
Hnrnpab,HNRNPAB
Fignl1,FIGNL1
Alpk2,ALPK2
Kat7,KAT7
Fntb,CHURC1-FNTB
Fntb,FNTB
Gm9531,SET
Ssb,SSB
Coro2a,CORO2A
Zfp280d,ZNF280D
Tmx1,TMX1
Hexb,HEXB
Cdca5,CDCA5
Galnt1,GALNT1
Tmem154,TMEM154
Tut4,TUT4
Zmym2,ZMYM2
Pou2f1,POU2F1
Midn,MIDN
Top2a,TOP2A
Slc35b4,SLC35B4
Vrk3,VRK3
Tfcp2,TFCP2
Akap10,AKAP10
Nradd,NRADDP
Scyl3,SCYL3
Prpf6,PRPF6
Slc20a1,SLC20A1
Urb2,URB2
Wac,WAC
Prpf19,PRPF19
Dnaja1,DNAJA1
Nags,NAGS
Hdac5,HDAC5
Kansl1,KANSL1
Wipf2,WIPF2
Cd79b,CD79B
Gan,GAN
Eme2,EME2
Spsb3,SPSB3
Msantd1,MSANTD1
Glis2,GLIS2
Cacna1h,CACNA1H
Tlnrd1,TLNRD1
Il16,IL16
Stard5,STARD5
Mthfs,MTERF1
Mthfs,MTHFS
Mthfs,ST20-MTHFS
Mthfsl,ST20-MTHFS
Efl1,EFL1
Cemip,CEMIP
Taok1,TAOK1
Trim8,TRIM8
Mtrfr,MTRFR
Wtip,WTIP
Tbc1d10c,TBC1D10C
Gas7,GAS7
Mettl4,METTL4
Lrp4,LRP4
Dlc1,DLC1
Grik2,GRIK2
Kif20b,KIF20B
Ascc3,ASCC3
Mast2,MAST2
Tusc3,TUSC3
Fbxo31,FBXO31
Tenm2,TENM2
Kdf1,KDF1
Clca2,CLCA2
Clca4a,CLCA4
Clca1,CLCA1
Clca4b,CLCA4
Fmnl1,FMNL1
Sbk1,SBK1
Zfp462,ZNF462
Lrfn2,LRFN2
Shc3,SHC3
Cers3,CERS3
Nanos2,NANOS2
Tln2,TLN2
Rnf20,RNF20
Agap1,AGAP1
Agap1,AGAP11
Agap1,AGAP4
Agap1,AGAP5
Agap1,AGAP6
Agap1,AGAP7P
Agap1,AGAP9
Pik3ca,PIK3CA
Ccdc15,CCDC15
Grid1,GRID1
Zdhhc22,ZDHHC22
Tnrc6c,TNRC6C
Tmc5,TMC5
Kbtbd13,KBTBD13
Crocc2,CROCC2
Prr5l,PRR5L
Tespa1,TESPA1
Synrg,SYNRG
Dennd4c,DENND4C
Ajm1,AJM1
Asph,ASPH
Pias3,PIAS3
Pias1,PIAS1
Klhl38,KLHL38
Mocs1,MOCS1
Dennd2c,DENND2C
Retreg1,RETREG1
Rbms2,RBMS2
Slitrk3,SLITRK3
Nckipsd,NCKIPSD
Fyco1,FYCO1
Crispld2,CRISPLD2
Mex3a,MEX3A
Stmnd1,STMND1
Zfat,ZFAT
Spidr,SPIDR
Rb1cc1,RB1CC1
Card11,CARD11
Sytl2,SYTL2
Sash3,SASH3
Slc6a14,SLC6A14
Klhl7,KLHL7
Kcnj2,KCNJ2
Cox7a1,COX7A1
Gpc6,GPC6
Drd5,DRD5
Frmd4b,FRMD4B
Shkbp1,SHKBP1
Capg,CAPG
Phka2,PHKA2
Ptdss2,PTDSS2
Unc93b1,UNC93B1
Rundc3a,RUNDC3A
Fnbp4,FNBP4
Cpeb2,CPEB2
Rps6ka5,RPS6KA5
Dnajc16,DNAJC16
Erc2,ERC2
Tbkbp1,TBKBP1
Ecpas,ECPAS
Tsg101,TSG101
Aadac,AADAC
Aadacl2,AADACL2
Tulp3,TULP3
Ccdc177,CCDC177
Epb41l3,EPB41L3
Mtmr11,MTMR11
Sstr2,SSTR2
Nbeal1,NBEAL1
Nim1k,NIM1K
Prr12,PRR12
Zfp518a,ZNF518A
Fam20c,FAM20C
Scml2,SCML2
Ganc,GANC
Gab2,GAB2
Gab2,GAB4
Gfra4,GFRA4
Bcorl1,BCORL1
Mpp3,MPP3
Brinp1,BRINP1
Acsl6,ACSL6
Urgcp,URGCP
Sema4f,SEMA4F
Clec11a,CLEC11A
Baiap3,BAIAP3
Lrig3,LRIG3
Cldn18,CLDN18
F2rl3,F2RL3
Rhobtb1,RHOBTB1
Kcna3,KCNA3
Lrrc7,LRRC7
Jmjd1c,JMJD1C
Prkd3,PRKD3
Zmat3,ZMAT3
Chd6,CHD6
Tmprss7,TMPRSS7
Acyp2,ACYP2
Slc8b1,SLC8B1
Muc4,MUC4
Cit,CIT
Nek10,NEK10
C130026I21Rik,SP140
Sp110,SP110
Sp100,SP100
Sp140,SP140
Sp140,SP140L
Ctif,CTIF
Gtf2h1,GTF2H1
Cnbd1,CNBD1
Noxred1,NOXRED1
Mmp19,MMP19
Ccdc180,CCDC180
Fat3,FAT3
Fam81b,FAM81B
Fam81a,FAM81A
Zfp408,ZNF408
Irs3,IRS3P
Ntn5,NTN5
Trmt10a,TRMT10A
Anpep,ANPEP
Cdh8,CDH8
Fbxl21,FBXL21P
Pkdcc,PKDCC
Vgll3,VGLL3
Gvin2,GVINP1
Dmwd,DMWD
Prrg2,PRRG2
Srcap,SRCAP
Med17,MED17
Slc7a1,SLC7A1
4933427D14Rik,KIAA0753
Fig4,FIG4
Ica1,ICA1
Urb1,URB1
Mast1,MAST1
Wapl,WAPL
Oplah,OPLAH
Ankrd11,ANKRD11
Shisa9,SHISA9
Garnl3,GARNL3
Kcnh4,KCNH4
Shroom2,SHROOM2
Afg3l1,AFG3L1P
Bptf,BPTF
Sis,SI
Atg7,ATG7
Armc5,ARMC5
Paqr4,PAQR4
D130043K22Rik,KIAA0319
Zfhx3,ZFHX3
Dock2,DOCK2
Trrap,TRRAP
Rab11fip5,RAB11FIP5
Mki67,MKI67
Hmcn2,HMCN2
Ccser2,CCSER2
Khdrbs3,KHDRBS3
Ccdc83,CCDC83
Smim1,SMIM1
Akt1,AKT1
Herc1,HERC1
Gzf1,GZF1
Fgl1,FGL1
Lamtor1,LAMTOR1
Cldn34b4,CLDN34
Cldn34b3,CLDN34
Cldn34c1,CLDN34
Cldn34a,CLDN34
Cldn34c4,CLDN34
Cldn34d,CLDN34
Cldn34b2,CLDN34
Cldn34b1,CLDN34
Spink4,SPINK4
Heatr5b,HEATR5B
Ralgapb,RALGAPB
Dock10,DOCK10
Rptor,RPTOR
Tanc1,TANC1
Sorcs2,SORCS2
Dhx29,DHX29
Qpct,QPCT
Trappc8,TRAPPC8
Grin3a,GRIN3A
Arap2,ARAP2
Atp10b,ATP10B
Kcnt2,KCNT2
Dner,DNER
Dhx30,DHX30
Kpna6,KPNA6
Sec16a,SEC16A
Ankrd13b,ANKRD13B
Fer1l4,FER1L4
Spock1,SPOCK1
Cdh19,CDH19
Pde9a,PDE9A
Sycp2l,SYCP2L
Gcgr,GCGR
Esco1,ESCO1
Zdhhc1,ZDHHC1
Cfap61,CFAP61
Mss51,MSS51
Mettl15,METTL15
Mettl15,METTL15P1
Gm527,C14orf28
Kif28,KIF28P
Gpr180,GPR180
Plekhd1,PLEKHD1
Crip3,CRIP3
Ap1ar,AP1AR
Nhsl2,NHSL2
Adad2,ADAD2
Prelid3a,PRELID3A
Il1r1,IL1R1
Il1rl2,IL1RL2
Ccdc30,CCDC30
Pecam1,PECAM1
Slx1b,SLX1A
Slx1b,SLX1B
Klhl33,KLHL33
Itgae,ITGAE
Sv2a,SV2A
Arhgef5,ARHGEF5
Gmip,GMIP
Crybg2,CRYBG2
Smim20,SMIM20
Adgra3,ADGRA3
Dnai2,DNAI2
Tbxa2r,TBXA2R
Tapt1,TAPT1
Rerg,RERG
Smug1,SMUG1
Sema6b,SEMA6B
E2f1,E2F1
Eloa,ELOA
Eloa,ELOA2
Eloa,ELOA3BP
Eloa,ELOA3DP
B3gat1,B3GAT1
Sh2d4a,SH2D4A
Zfp608,ZNF608
Nppb,NPPB
Nrap,NRAP
Kifc2,KIFC2
Zbtb41,ZBTB41
Itih1,ITIH1
Npat,NPAT
Tmem131,TMEM131
Kif21b,KIF21B
Gucy1b2,GUCY1B2
Htr7,HTR7
Dennd4b,DENND4B
Map1b,MAP1B
Shank1,SHANK1
Igfn1,IGFN1
Ngef,NGEF
Zdhhc11,ZDHHC11
Zdhhc11,ZDHHC11B
Abhd8,ABHD8
Gucy2g,GUCY2GP
Txk,TXK
Incenp,INCENP
Igsf10,IGSF10
Szt2,SZT2
Oit3,OIT3
Dnah2,DNAH2
Fyb,FYB1
Ppp2r2a,PPP2R2A
D7Ertd443e,C10orf90
Tmem235,TMEM235
Slc13a5,SLC13A5
Fdxr,FDXR
Fank1,FANK1
Dhx32,DHX32
Tekt1,TEKT1
Miip,MIIP
Trappc10,TRAPPC10
Edrf1,EDRF1
Qrfpr,QRFPR
Zfyve1,ZFYVE1
Msln,MSLN
Mylk,MYLK
Gdpd3,GDPD3
Glra2,GLRA2
Clip3,CLIP3
Vwde,VWDE
Prob1,PROB1
Gpr33,GPR33
Cyp2t4,CYP2T1P
Cyp2s1,CYP2S1
Cyp2c54,CYP2C19
Cyp2c54,CYP2C9
Cyp2c23,CYP2C23P
Cyp2a22,CYP2A13
Cyp2a22,CYP2A6
Cyp2a22,CYP2A7
Cyp2c38,CYP2C19
Cyp2c38,CYP2C9
Cyp2a4,CYP2A13
Cyp2a4,CYP2A6
Cyp2a4,CYP2A7
Cyp2c50,CYP2C19
Cyp2c50,CYP2C9
Cyp2b23,CYP2B6
Cyp2c29,CYP2C19
Cyp2c29,CYP2C9
Cyp2g1,CYP2G1P
Cyp2b13,CYP2B6
Cyp2c66,CYP2C19
Cyp2c66,CYP2C8
Cyp2a5,CYP2A13
Cyp2a5,CYP2A6
Cyp2a12,CYP2A13
Cyp2a12,CYP2A6
